week_start,elec_price,nat_gas_price,wind_speed,sunshine_duration
2019-07-08,39.79,10.815,3.343626707051624,69.23567230181273
2019-07-15,40.81,9.965,3.253001420445905,81.85829690454695
2019-07-22,43.26,12.015,3.4602771252874884,86.00157250298292
2019-07-29,42.63,12.025,2.5316000158546794,81.826939280154
2019-08-05,32.77,10.955,3.876946492613151,71.6453373548915
2019-08-12,34.02,10.585,3.9972260176869945,63.319252873567926
2019-08-19,36.07,12.795,2.9804976544688317,73.9101264671416
2019-08-26,41.79,12.35,2.7426133634153644,79.24264898862997
2019-09-02,35.08,14.71,3.7625915494947586,53.252962516291305
2019-09-09,36.14,12.71,3.8135997854908874,64.87625332859992
2019-09-16,38.32,11.94,3.833558327857124,68.67077897366464
2019-09-23,36.21,15.77,4.098465090368732,39.90431296740158
2019-09-30,36.88,16.135,4.642957890715338,39.08192696451081
2019-10-07,30.43,15.965,5.05245678667626,42.139466213135634
2019-10-14,37.96,15.235,3.843982746654574,44.18497585115108
2019-10-21,35.59,16.175,4.1820330566155315,45.583242668462326
2019-10-28,38.23,15.94,3.6163655677162603,33.151026698464335
2019-11-04,43.67,15.715,2.987300413026189,30.59880572840978
2019-11-11,41.22,16.05,4.290040392152168,27.696328298068256
2019-11-18,42.69,16.33,3.64939074859795,28.51542190570606
2019-11-25,41.86,15.14,4.101323775525201,22.018927952909834
2019-12-02,32.42,13.805,5.053835786720802,29.51054658781637
2019-12-09,31.25,14.235,5.605915742186419,24.17645331027471
2019-12-16,33.77,12.765,4.386934389684097,27.6416327745279
2019-12-23,29.74,12.985,3.690137435352444,26.26501685757264
2019-12-30,30.59,11.94,4.59815120498512,29.80081481064034
2020-01-06,33.97,10.93,4.75944433859396,26.22040440549568
2020-01-13,32.4,10.455,5.079568012947465,35.41515433949137
2020-01-20,44.01,9.755,3.1968120731819067,36.12189800349698
2020-01-27,25.92,9.07,6.267025232291666,23.607756715861008
2020-02-03,27.85,8.88,5.058780525900522,41.45707515321143
2020-02-10,17.82,9.41,7.261208760417142,36.41293556895592
2020-02-17,18.5,8.875,7.288491888310058,36.38222944592488
2020-02-24,24.26,8.645,5.797042366334549,37.73441988292252
2020-03-02,31.68,9.285,4.251525575384589,39.41811961686672
2020-03-09,20.96,8.295,5.8709681715335105,48.17339856004633
2020-03-16,21.34,7.22,3.95219270029337,58.59591368383114
2020-03-23,17.61,6.92,4.509559202611627,72.50867167063562
2020-03-30,19.59,7.28,3.872784152462371,70.67423596835347
2020-04-06,21.05,6.995,2.8539696410347375,85.44266201853365
2020-04-13,14.98,5.77,3.940791876517159,82.13033891074738
2020-04-20,11.19,5.845,4.23984233030832,86.34912830004465
2020-04-27,18.1,5.83,3.5609342821548315,66.41716992170782
2020-05-04,21.68,5.22,2.9734579194617567,76.78785397415874
2020-05-11,19.48,3.89,4.124727559495765,58.435342943368425
2020-05-18,14.0,4.385,3.760994600578812,70.3311704918962
2020-05-25,18.04,5.71,3.5252504774554487,82.62801732230328
2020-06-01,19.78,5.275,3.8430167394418726,69.61725683755257
2020-06-08,26.08,5.615,3.2762141967279312,59.437285183268855
2020-06-15,29.66,5.105,2.8108469970392167,63.9894270173764
2020-06-22,30.15,5.945,3.2649542225545773,93.65892530678953
2020-06-29,21.73,5.475,4.950422429113588,77.85163569515343
2020-07-06,31.4,5.115,4.030077958717788,76.73305783292494
2020-07-13,35.92,5.01,2.2391382412332743,73.66749741284228
2020-07-20,29.14,6.025,3.253640367977706,87.41320725542451
2020-07-27,29.55,7.93,3.616886027023203,84.56747919111218
2020-08-03,33.22,8.02,2.60911006778072,83.34557398068087
2020-08-10,35.59,7.62,3.0761755803784205,81.18625525458023
2020-08-17,33.01,11.17,3.3924874658746647,73.58524765702718
2020-08-24,36.79,11.68,4.262063953619567,56.06736115357886
2020-08-31,42.97,10.495,3.350017340075235,61.12775031685487
2020-09-07,37.85,11.475,3.5974529515311833,71.21099061475556
2020-09-14,48.47,11.665,3.111215900909819,77.62651931496846
2020-09-21,43.36,13.025,3.354136486033851,49.47086067528688
2020-09-28,36.63,13.755,3.86426470487239,44.433151836846534
2020-10-05,33.77,14.5,4.714728968364614,42.446960068348645
2020-10-12,41.0,15.41,3.7727116585074585,32.28956263032277
2020-10-19,33.25,14.06,4.5508288446078495,42.05347319576717
2020-10-26,30.52,13.9,5.073344790040278,26.46682160136217
2020-11-02,35.89,14.24,4.027618674144529,40.72413103493828
2020-11-09,37.65,12.895,3.552034065192953,37.43304956609312
2020-11-16,33.38,14.485,5.355610633781025,34.905317266432675
2020-11-23,49.42,14.645,3.27916627929314,36.20287582464991
2020-11-30,51.26,15.96,3.622244430111569,17.671854521481787
2020-12-07,54.99,15.885,3.238297723420992,13.82124585274152
2020-12-14,43.3,17.65,4.147173728638124,31.309257117875124
2020-12-21,25.05,19.125,5.119901010284545,18.016125848344963
2020-12-28,45.25,20.12,3.6420493979244104,21.753508492762954
2021-01-04,59.54,20.2,3.7230095616671504,16.13167331583038
2021-01-11,55.72,21.485,4.538050537577652,20.337281774059157
2021-01-18,44.38,19.82,5.210296050830731,22.532971416733446
2021-01-25,54.56,18.38,3.6755346431627567,18.67197626966316
2021-02-01,45.11,17.62,4.747069976632007,13.922198319655774
2021-02-08,60.08,16.555,3.8808037086608342,43.089044247618595
2021-02-15,44.7,15.695,4.292658174470944,43.99787705995914
2021-02-22,44.92,16.365,3.471966223644782,56.5258087324481
2021-03-01,50.34,18.45,3.119187649753634,54.94150925112577
2021-03-08,35.82,17.265,5.475768935305251,46.24262889702942
2021-03-15,53.0,18.7,4.068893113751246,50.78847973468752
2021-03-22,47.53,19.17,3.8716483569312317,56.24642318089133
2021-03-29,44.47,18.94,3.814478207369404,69.80205831612994
2021-04-05,41.1,20.54,5.4125005087036895,52.11265922185267
2021-04-12,63.37,20.045,3.3808818949953166,58.48026036919966
2021-04-19,58.48,23.285,3.50143454244237,81.77601186722094
2021-04-26,58.89,23.94,3.277437057606842,67.83096594993255
2021-05-03,45.02,26.83,5.365306885189157,67.71739619455933
2021-05-10,61.85,24.795,3.262710377182446,54.38190381665892
2021-05-17,48.72,24.93,4.168849403497095,78.44065819324508
