"Date","Price","Open","High","Low","Vol.","Change %"
"02/04/2024","27.115","29.850","29.850","26.650","1.95K","-7.47%"
"01/28/2024","29.305","28.540","31.050","28.050","3.00K","4.37%"
"01/21/2024","28.079","27.105","29.215","26.725","2.08K","-1.23%"
"01/14/2024","28.429","31.310","31.535","27.440","1.79K","-11.13%"
"01/07/2024","31.990","33.750","33.950","30.230","4.16K","-7.41%"
"12/31/2023","34.550","33.395","35.045","30.070","3.63K","6.80%"
"12/24/2023","32.350","34.175","36.875","31.635","1.84K","-5.34%"
"12/17/2023","34.174","33.635","37.385","32.180","5.25K","2.96%"
"12/10/2023","33.190","36.345","37.155","33.010","5.00K","-14.02%"
"12/03/2023","38.600","41.815","41.900","37.940","4.75K","-11.26%"
"11/26/2023","43.496","45.045","45.045","39.570","9.00K","-6.77%"
"11/19/2023","46.655","47.035","47.520","43.205","2.94K","3.53%"
"11/12/2023","45.064","45.940","49.380","44.565","2.61K","-3.36%"
"11/05/2023","46.630","47.000","49.060","44.695","7.29K","-2.97%"
"10/29/2023","48.057","54.425","54.425","46.225","11.45K","-4.89%"
"10/22/2023","50.530","48.230","53.025","48.230","5.57K","-1.14%"
"10/15/2023","51.112","52.665","52.985","46.405","3.55K","-5.32%"
"10/08/2023","53.982","41.170","55.670","40.620","8.21K","41.20%"
"10/01/2023","38.231","40.610","40.610","35.880","8.60K","-8.67%"
"09/24/2023","41.859","39.475","44.730","38.720","5.45K","5.20%"
"09/17/2023","39.791","34.495","41.735","33.950","13.82K","9.06%"
"09/10/2023","36.485","36.540","37.975","34.335","9.23K","5.72%"
"09/03/2023","34.510","36.250","37.000","30.570","8.11K","-3.11%"
"08/27/2023","35.617","35.495","39.000","34.315","11.10K","2.42%"
"08/20/2023","34.775","38.575","44.700","31.725","8.02K","-4.49%"
"08/13/2023","36.410","36.650","41.830","33.725","4.73K","3.14%"
"08/06/2023","35.300","29.800","43.245","29.550","4.83K","22.34%"
"07/30/2023","28.853","27.805","31.350","26.980","8.50K","11.66%"
"07/23/2023","25.841","28.150","32.870","26.050","2.94K","-8.25%"
